F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0      80       2  0  60 -20 -     0 -      ?        00:00:00 kworker/5:0H-events_highpri
5 S     0      81       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/7
1 S     0      82       2  0   9   - -     0 -      ?        00:00:00 idle_inject/7
1 S     0      83       2  0 -40   - -     0 -      ?        00:00:00 migration/7
1 S     0      84       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/7
1 I     0      86       2  0  60 -20 -     0 -      ?        00:00:00 kworker/7:0H-events_highpri
5 S     0      87       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0      88       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-inet_frag_wq
1 I     0      89       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_kthread
1 I     0      90       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_rude_kthread
1 I     0      91       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_trace_kthread
1 S     0      92       2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0      93       2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0      94       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0      97       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-writeback
1 S     0      98       2  0  80   0 -     0 -      ?        00:00:00 kcompactd0
1 S     0      99       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0     100       2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 I     0     101       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kblockd
1 I     0     102       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-blkcg_punt_bio
1 I     0     103       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kintegrityd
1 S     0     104       2  0   9   - -     0 -      ?        00:00:00 irq/9-acpi
1 I     0     105       2  0  80   0 -     0 -      ?        00:00:00 kworker/8:1-events_long
1 I     0     110       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-tpm_dev_wq
1 I     0     111       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ata_sff
1 I     0     112       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md
1 I     0     113       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md_bitmap
1 I     0     114       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-edac-poller
1 I     0     115       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-devfreq_wq
1 S     0     117       2  0   9   - -     0 -      ?        00:00:00 watchdogd
1 I     0     118       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-quota_events_unbound
1 I     0     119       2  0  60 -20 -     0 -      ?        00:00:00 kworker/9:1H-kblockd
1 S     0     120       2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0     121       2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthread
1 I     0     122       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kthrotld
1 S     0     123       2  0   9   - -     0 -      ?        00:00:00 irq/123-pciehp
1 I     0     124       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-acpi_thermal_pm
1 S     0     125       2  0  80   0 -     0 -      ?        00:00:00 hwrng
1 I     0     126       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-hfi-updates
1 I     0     127       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mld
1 I     0     128       2  0  60 -20 -     0 -      ?        00:00:00 kworker/10:1H-kblockd
1 I     0     129       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ipv6_addrconf
1 I     0     130       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kstrp
1 I     0     133       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:1-events
1 I     0     134       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:1-events
1 I     0     136       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u49:0-hci0
1 I     0     149       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-charger_manager
1 I     0     150       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H-kblockd
1 I     0     176       2  0  60 -20 -     0 -      ?        00:00:00 kworker/11:1H-kblockd
1 I     0     179       2  0  60 -20 -     0 -      ?        00:00:00 kworker/7:1H-kblockd
1 I     0     197       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:1H-kblockd
1 I     0     198       2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:1H-kblockd
1 I     0     199       2  0  60 -20 -     0 -      ?        00:00:00 kworker/4:1H-kblockd
1 I     0     200       2  0  60 -20 -     0 -      ?        00:00:00 kworker/8:1H-kblockd
1 I     0     205       2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:1H-kblockd
1 I     0     227       2  0  60 -20 -     0 -      ?        00:00:00 kworker/5:1H-kblockd
1 I     0     229       2  0  60 -20 -     0 -      ?        00:00:00 kworker/6:1H-kblockd
1 I     0     230       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2-events
1 S     0     276       2  0   9   - -     0 -      ?        00:00:00 irq/177-ELAN0525:00
1 I     0     280       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:1-events_long
1 I     0     281       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-wq
1 I     0     282       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-reset-wq
1 I     0     283       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-delete-wq
1 I     0     284       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-auth-wq
1 I     0     286       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:3-cgroup_release
1 S     0     340       2  0  80   0 -     0 -      ?        00:00:00 jbd2/nvme0n1p6-8
1 I     0     341       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ext4-rsv-conversion
4 S     0     396       1  0  79  -1 - 12650 -      ?        00:00:01 systemd-journal
1 I     0     432       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:2-events
4 S     0     464       1  0  80   0 -  7823 -      ?        00:00:00 systemd-udevd
1 S     0     521       2  0  58   - -     0 -      ?        00:00:00 psimon
1 I     0     546       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:11-async
1 I     0     558       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:2-events
1 I     0     704       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-cfg80211
1 S     0     709       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 S     0     710       2  0  80   0 -     0 -      ?        00:00:00 nv_mem_pool_scrubber_queue
1 S     0     711       2  0  80   0 -     0 -      ?        00:00:00 nv_mem_pool_scrubber_queue
1 S     0     712       2  0  80   0 -     0 -      ?        00:00:00 nv_mem_pool_scrubber_queue
1 S     0     713       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 S     0     714       2  0  80   0 -     0 -      ?        00:00:00 nv_open_q
1 I     0     718       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ttm
1 S     0     719       2  0  80   0 -     0 -      ?        00:00:00 nvidia-modeset/kthread_q
1 S     0     720       2  0  80   0 -     0 -      ?        00:00:00 nvidia-modeset/deferred_close_kthread_q
1 S     0     723       2  0   9   - -     0 -      ?        00:00:00 card1-crtc0
1 S     0     724       2  0   9   - -     0 -      ?        00:00:00 card1-crtc1
1 S     0     725       2  0   9   - -     0 -      ?        00:00:00 card1-crtc2
1 S     0     726       2  0   9   - -     0 -      ?        00:00:00 card1-crtc3
1 S     0     731       2  0   9   - -     0 -      ?        00:00:00 irq/195-nvidia
1 S     0     733       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 S     0     737       2  0   9   - -     0 -      ?        00:00:00 irq/16-processor_thermal_device_pci
1 I     0     741       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u49:1-hci0
1 S     0     761       2  0  80   0 -     0 -      ?        00:00:00 napi/phy0-0
1 S     0     762       2  0  80   0 -     0 -      ?        00:00:00 napi/phy0-0
1 S     0     763       2  0  80   0 -     0 -      ?        00:00:00 napi/phy0-0
4 S   990    1016       1  0  80   0 -  4393 -      ?        00:00:00 systemd-oomd
4 S   991    1025       1  0  80   0 -  5399 -      ?        00:00:00 systemd-resolve
4 S   996    1032       1  0  80   0 - 22765 -      ?        00:00:00 systemd-timesyn
1 S     0    1182       2  0  58   - -     0 -      ?        00:00:00 mt76-tx phy0
1 S     0    1191       2  0   9   - -     0 -      ?        00:00:00 irq/197-AudioDSP
1 S     0    1248       2  0  80   0 -     0 -      ?        00:00:00 UVM global queue
1 S     0    1249       2  0  80   0 -     0 -      ?        00:00:00 UVM deferred release queue
1 S     0    1250       2  0  80   0 -     0 -      ?        00:00:00 UVM Tools Event Queue
4 S   108    1265       1  0  80   0 -  2170 -      ?        00:00:00 avahi-daemon
4 S     0    1266       1  0  80   0 -  3422 -      ?        00:00:00 bluetoothd
4 S   101    1267       1  0  80   0 -  2766 -      ?        00:00:04 dbus-daemon
4 S   987    1276       1  0  80   0 - 77685 -      ?        00:00:00 polkitd
4 S     0    1280       1  0  80   0 - 628899 -     ?        00:00:00 snapd
5 S   122    1281       1  0  80   0 -   833 -      ?        00:00:00 nvidia-persiste
4 S     0    1283       1  0  80   0 -  2358 -      ?        00:00:00 cron
4 S     0    1287       1  0  80   0 -  4550 -      ?        00:00:01 systemd-logind
4 S     0    1288       1  0  80   0 - 106229 -     ?        00:00:00 thermald
1 S   108    1310    1265  0  80   0 -  2122 -      ?        00:00:00 avahi-daemon
4 S     0    1333       1  0  80   0 - 84203 -      ?        00:00:03 NetworkManager
4 S     0    1334       1  0  80   0 -  4606 -      ?        00:00:01 wpa_supplicant
4 S   102    1343       1  0  80   0 - 55643 -      ?        00:00:00 rsyslogd
4 S     0    1390       1  0  80   0 - 98069 -      ?        00:00:00 ModemManager
4 S     0    1394       1  0  80   0 - 78380 -      ?        00:00:00 boltd
4 S     0    1523       1  0  80   0 - 79370 -      ?        00:00:00 upowerd
1 I     0    1946       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-iprt-VBoxWQueue
1 S     0    1949       2  0  80   0 -     0 -      ?        00:00:00 iprt-VBoxTscThread
4 S     0    1981       1  0  80   0 -  9604 -      ?        00:00:00 cupsd
4 S     0    1986       1  0  80   0 - 234880 -     ?        00:00:02 fail2ban-server
4 S     0    1992       1  0  80   0 - 29514 -      ?        00:00:00 unattended-upgr
4 S     0    2008       1  0  80   0 -  3008 -      ?        00:00:00 sshd
4 S     0    2018       1  0  80   0 -  1818 -      tty1     00:00:00 login
4 S   123    2022       1  0  80   0 - 594061 -     ?        00:00:27 mysqld
4 S   115    2130       1  0  80   0 - 67118 -      ?        00:00:00 cups-browsed
1 S   106    2137       1  0  80   0 -  3188 -      ?        00:00:00 kerneloops
1 S   106    2142       1  0  80   0 -  3188 -      ?        00:00:00 kerneloops
4 S   125    2145       1  0  80   0 - 247577 -     ?        00:00:00 tor
1 S     0    2224       2  0  58   - -     0 -      ?        00:00:00 psimon
4 S  1000    2227       1  0  80   0 -  5292 -      ?        00:00:00 systemd
5 S  1000    2229    2227  0  80   0 -  5370 -      ?        00:00:00 (sd-pam)
0 S  1000    2240    2227  0  69 -11 - 28543 ep_pol ?        00:00:00 pipewire
0 S  1000    2241    2227  0  80   0 - 24436 ep_pol ?        00:00:00 pipewire
4 S  1000    2242    2227  0  80   0 - 11937 do_wai ?        00:00:00 snapd-desktop-i
0 S  1000    2243    2227  0  69 -11 - 101535 poll_s ?       00:00:01 wireplumber
4 S  1000    2244    2018  0  80   0 -  2882 do_wai tty1     00:00:04 bash
0 S  1000    2245    2227  0  69 -11 - 27354 ep_pol ?        00:00:00 pipewire-pulse
0 S  1000    2252    2227  0  80   0 -  2373 ep_pol ?        00:00:00 dbus-daemon
4 S   117    2268       1  0  81   1 -  5737 -      ?        00:00:00 rtkit-daemon
0 S  1000    2292    2227  0  80   0 - 134142 poll_s ?       00:00:00 xdg-document-po
0 S  1000    2301    2227  0  80   0 - 77329 poll_s ?        00:00:00 xdg-permission-
4 S     0    2308    2292  0  80   0 -   678 -      ?        00:00:00 fusermount3
5 S     0    2352       2  0  70 -10 -     0 -      ?        00:00:00 krfcommd
1 S  1000    2391    2242  0  80   0 - 75145 poll_s ?        00:00:00 snapd-desktop-i
1 I     0    2477       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:24-async
1 I     0    2482       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:29-async
1 I     0    2487       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:34-async
1 I     0    2741       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:3-events
1 I     0    2822       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:3-events
1 I     0    3125       2  0  80   0 -     0 -      ?        00:00:00 kworker/11:0-events
1 I     0    3135       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:0-cgroup_free
1 I     0    3226       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:0-events
1 I     0    3230       2  0  80   0 -     0 -      ?        00:00:00 kworker/9:0
4 S     0    3276       1  0  80   0 - 120904 -     ?        00:00:03 fwupd
4 S     0    3283       1  0  80   0 - 117385 -     ?        00:00:01 udisksd
1 I     0    3368       2  0  80   0 -     0 -      ?        00:00:00 kworker/10:2-events
1 I     0    3369       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0-events
1 I     0    3378       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:0-async
1 I     0    3379       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:1-async
1 I     0    3380       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:2-async
1 I     0    3381       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:3-async
1 I     0    3382       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:4-async
1 I     0    3383       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:5-async
1 I     0    3384       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:6-async
1 I     0    3385       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:7-async
1 I     0    3386       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:8-async
1 I     0    3387       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:9-async
1 I     0    3388       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:10-events_unbound
1 I     0    3390       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:13-events_unbound
1 I     0    3391       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:14-async
1 I     0    3392       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:15-flush-259:0
1 I     0    3393       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:16-events_unbound
1 I     0    3394       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:17-async
1 I     0    3395       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:18-ext4-rsv-conversion
1 I     0    3396       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:19-events_power_efficient
1 I     0    3397       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:20-async
1 I     0    3398       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:21-async
1 I     0    3399       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:0
1 I     0    3400       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:22-async
1 I     0    3401       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:23-events_freezable_pwr_efficient
1 I     0    3402       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:25-async
1 I     0    3403       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:26-async
1 I     0    3404       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:27-async
1 I     0    3405       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:28-events_freezable_pwr_efficient
1 I     0    3406       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:30-async
1 I     0    3407       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:31-flush-259:0
1 I     0    3408       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:32-async
1 I     0    3409       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:33-async
1 I     0    3411       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:36-async
1 I     0    3412       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:37-async
1 I     0    3417       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:0-events
1 I     0    3418       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:3-events
1 I     0    3462       2  0  80   0 -     0 -      ?        00:00:00 kworker/8:2-events
1 I     0    3463       2  0  80   0 -     0 -      ?        00:00:00 kworker/9:2-events
1 I     0    3485       2  0  80   0 -     0 -      ?        00:00:00 kworker/11:2-rcu_gp
1 I     0    3513       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:1-events
1 I     0    3633       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0
1 S     0    3634       2  0   9   - -     0 -      ?        00:00:00 irq/193-mei_me
1 I     0    3635       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:2-pm
1 I     0    3638       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:3-pm
1 I     0    3640       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:4
1 S     0    3658       2  0  80   0 -     0 -      ?        00:00:00 nvidia
0 R  1000    3730    2244  0  80   0 -  3414 -      tty1     00:00:00 ps
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       1       0  0  80   0 -  6066 -      ?        00:00:02 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0       3       2  0  80   0 -     0 -      ?        00:00:00 pool_workqueue_release
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-rcu_gp
1 I     0       5       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-sync_wq
1 I     0       6       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kvfree_rcu_reclaim
1 I     0       7       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-slub_flushwq
1 I     0       8       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-netns
1 I     0      10       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-events_highpri
1 I     0      13       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mm_percpu_wq
1 S     0      14       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/0
1 I     0      15       2  0  80   0 -     0 -      ?        00:00:00 rcu_preempt
1 S     0      16       2  0  80   0 -     0 -      ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
1 S     0      17       2  0  80   0 -     0 -      ?        00:00:00 rcu_exp_gp_kthread_worker
1 S     0      18       2  0 -40   - -     0 -      ?        00:00:00 migration/0
1 S     0      19       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      20       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
5 S     0      21       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/2
1 S     0      22       2  0   9   - -     0 -      ?        00:00:00 idle_inject/2
1 S     0      23       2  0 -40   - -     0 -      ?        00:00:00 migration/2
1 S     0      24       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/2
1 I     0      26       2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:0H-events_highpri
5 S     0      27       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/4
1 S     0      28       2  0   9   - -     0 -      ?        00:00:00 idle_inject/4
1 S     0      29       2  0 -40   - -     0 -      ?        00:00:00 migration/4
1 S     0      30       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/4
1 I     0      32       2  0  60 -20 -     0 -      ?        00:00:00 kworker/4:0H-events_highpri
5 S     0      33       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/6
1 S     0      34       2  0   9   - -     0 -      ?        00:00:00 idle_inject/6
1 S     0      35       2  0 -40   - -     0 -      ?        00:00:00 migration/6
1 S     0      36       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/6
1 I     0      38       2  0  60 -20 -     0 -      ?        00:00:00 kworker/6:0H-events_highpri
5 S     0      39       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/8
1 S     0      40       2  0   9   - -     0 -      ?        00:00:00 idle_inject/8
1 S     0      41       2  0 -40   - -     0 -      ?        00:00:00 migration/8
1 S     0      42       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/8
1 I     0      44       2  0  60 -20 -     0 -      ?        00:00:00 kworker/8:0H-events_highpri
5 S     0      45       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/9
1 S     0      46       2  0   9   - -     0 -      ?        00:00:00 idle_inject/9
1 S     0      47       2  0 -40   - -     0 -      ?        00:00:00 migration/9
1 S     0      48       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/9
1 I     0      50       2  0  60 -20 -     0 -      ?        00:00:00 kworker/9:0H-events_highpri
5 S     0      51       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/10
1 S     0      52       2  0   9   - -     0 -      ?        00:00:00 idle_inject/10
1 S     0      53       2  0 -40   - -     0 -      ?        00:00:00 migration/10
1 S     0      54       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/10
1 I     0      55       2  0  80   0 -     0 -      ?        00:00:00 kworker/10:0-mm_percpu_wq
1 I     0      56       2  0  60 -20 -     0 -      ?        00:00:00 kworker/10:0H-events_highpri
5 S     0      57       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/11
1 S     0      58       2  0   9   - -     0 -      ?        00:00:00 idle_inject/11
1 S     0      59       2  0 -40   - -     0 -      ?        00:00:00 migration/11
1 S     0      60       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/11
1 I     0      62       2  0  60 -20 -     0 -      ?        00:00:00 kworker/11:0H-events_highpri
5 S     0      63       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/1
1 S     0      64       2  0   9   - -     0 -      ?        00:00:00 idle_inject/1
1 S     0      65       2  0 -40   - -     0 -      ?        00:00:00 migration/1
1 S     0      66       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/1
1 I     0      68       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H-events_highpri
